text,label
Петров Гордей Сергеевич,1
Бондарев Руслан Владиславович,1
Потапов Роман Иванович,1
Семенов Клим Маркович,1
Тарасов Никита Иванович,1
Дроздов Александр Михайлович,1
Еремеев Денис Андреевич,1
Барсуков Виктор Алексеевич,1
Кудрявцев Тимофей Александрович,1
Галкин Владислав Дмитриевич,1
Харитонов Георгий Дамирович,1
Герасимов Данил Михайлович,1
Колесников Роман Александрович,1
Романов Артём Филиппович,1
Ерофеев Сергей Иванович,1
Карпов Михаил Егорович,1
Нечаев Лев Алексеевич,1
Казаков Роман Ильич,1
Сорокин Артём Даниэльевич,1
Симонов Илья Дмитриевич,1
Соколов Роман Даниилович,1
Киреев Демьян Александрович,1
Владимиров Николай Артёмович,1
Беляев Всеволод Богданович,1
Гаврилов Михаил Егорович,1
Калинин Андрей Захарович,1
Никитин Александр Валерьевич,1
Хохлов Роман Максимович,1
Кулаков Владимир Ильич,1
Пугачев Георгий Михайлович,1
Захаров Марк Владиславович,1
Соловьев Матвей Павлович,1
Зуев Алексей Русланович,1
Семин Алексей Семёнович,1
Кузнецов Василий Савельевич,1
Белов Артур Дмитриевич,1
Рябинин Александр Константинович,1
Андреев Артём Михайлович,1
Розанов Евгений Леонидович,1
Максимов Иван Артемьевич,1
Аксенов Фёдор Макарович,1
Маркин Матвей Леонидович,1
Поляков Сергей Ильич,1
Смирнов Владимир Дмитриевич,1
Никонов Павел Петрович,1
Андреев Владислав Григорьевич,1
Греков Артемий Игоревич,1
Лапшин Александр Иванович,1
Розанов Лев Михайлович,1
Иванов Иван Матвеевич,1
Лебедев Дмитрий Робертович,1
Нечаев Адам Максимович,1
Карпов Матвей Григорьевич,1
Логинов Адам Фёдорович,1
Коновалов Василий Даниилович,1
Лаврентьев Кирилл Даниилович,1
Наумов Леонид Вячеславович,1
Андреев Дмитрий Максимович,1
Павлов Роман Макарович,1
Шаповалов Артур Антонович,1
Симонов Кирилл Васильевич,1
Платонов Михаил Ильич,1
Родионов Семён Артёмович,1
Анисимов Макар Миронович,1
Чернышев Кирилл Константинович,1
Горюнов Мирон Дмитриевич,1
Соколов Константин Сергеевич,1
Прохоров Михаил Данилович,1
Максимов Василий Билалович,1
Антипов Никита Тимофеевич,1
Моисеев Егор Романович,1
Сазонов Михаил Ильич,1
Лебедев Владимир Денисович,1
Кудрявцев Михаил Тимурович,1
Коновалов Александр Михайлович,1
Соколов Константин Даниилович,1
Смирнов Константин Маркович,1
Виноградов Ярослав Глебович,1
Кондратов Иван Фёдорович,1
Никольский Кирилл Юрьевич,1
Николаев Даниил Глебович,1
Петров Андрей Андреевич,1
Носов Даниил Михайлович,1
Карпов Михаил Николаевич,1
Еремеев Всеволод Мирославович,1
Черных Илья Васильевич,1
Борисов Михаил Тимофеевич,1
Морозов Матвей Иванович,1
Алексеев Георгий Михайлович,1
Алексеев Андрей Кириллович,1
Покровский Лев Алексеевич,1
Иванов Фёдор Елисеевич,1
Иванов Платон Ильич,1
Юдин Демьян Артёмович,1
Винокуров Платон Ярославович,1
Курочкин Савелий Кириллович,1
Комиссаров Николай Александрович,1
Евдокимов Лев Данилович,1
Герасимов Никита Романович,1
Ульянов Иван Никитич,1
Зайцев Тимофей Даниилович,1
Яковлев Егор Тимофеевич,1
Горячев Тимофей Владимирович,1
Воробьев Платон Иванович,1
Воробьев Марк Артёмович,1
Орлов Егор Артёмович,1
Смирнов Платон Александрович,1
Масленников Ярослав Александрович,1
Маслов Артём Дмитриевич,1
Яковлев Михаил Георгиевич,1
Савельев Захар Леонидович,1
Матвеев Валерий Сергеевич,1
Белов Дмитрий Михайлович,1
Козлов Иван Игоревич,1
Зубков Михаил Денисович,1
Кузнецов Марат Александрович,1
Федоров Никита Иванович,1
Ершов Арсений Леонидович,1
Трошин Матвей Тимофеевич,1
Борисов Олег Даниилович,1
Третьяков Иван Иванович,1
Анисимов Виктор Всеволодович,1
Игнатов Иван Даниэльевич,1
Пономарев Артём Артёмович,1
Петров Андрей Ильич,1
Ермаков Максим Степанович,1
Мельников Тимур Иванович,1
Максимов Андрей Алексеевич,1
Николаев Михаил Тимофеевич,1
Тихонов Максим Владимирович,1
Колесников Марк Максимович,1
Степанов Мартин Львович,1
Гаврилов Даниэль Захарович,1
Логинов Артём Фёдорович,1
Козлов Дмитрий Германович,1
Зорин Тимофей Иванович,1
Белов Мирон Никитич,1
Федосеев Артём Александрович,1
Муравьев Егор Егорович,1
Богданов Степан Константинович,1
Селезнев Денис Владиславович,1
Соколов Егор Дмитриевич,1
Успенский Егор Артёмович,1
Коновалов Платон Георгиевич,1
Чеботарев Владислав Романович,1
Иванов Егор Фёдорович,1
Данилов Никита Михайлович,1
Карпов Владимир Давидович,1
Прокофьев Платон Елисеевич,1
Елисеев Тимофей Филиппович,1
Иванов Дмитрий Иванович,1
Киселев Алексей Алиевич,1
Кузин Ярослав Максимович,1
Иванов Егор Михайлович,1
Фомин Егор Семёнович,1
Игнатьев Григорий Алексеевич,1
Кудрявцев Фёдор Константинович,1
Лапшин Даниил Иванович,1
Попов Андрей Ильич,1
Федоров Никита Андреевич,1
Васильев Олег Александрович,1
Цветков Владислав Львович,1
Егоров Александр Михайлович,1
Ковалев Михаил Иванович,1
Евсеев Кирилл Александрович,1
Семенов Михаил Матвеевич,1
Зубов Платон Артёмович,1
Петров Григорий Михайлович,1
Соколов Андрей Степанович,1
Антонов Константин Глебович,1
Осипов Фёдор Андреевич,1
Олейников Александр Александрович,1
Королев Артём Матвеевич,1
Антонов Данила Тимурович,1
Новиков Андрей Миронович,1
Шувалов Лев Артёмович,1
Григорьев Демьян Дмитриевич,1
Поляков Дмитрий Савельевич,1
Белоусов Николай Савельевич,1
Комаров Матвей Матвеевич,1
Кузьмин Ярослав Даниилович,1
Колосов Александр Евгеньевич,1
Селезнев Матвей Артёмович,1
Колесников Кирилл Григорьевич,1
Абрамов Адам Владиславович,1
Куликов Александр Артёмович,1
Новиков Игорь Николаевич,1
Миронов Александр Владимирович,1
Жилин Богдан Вячеславович,1
Баженов Егор Иванович,1
Воробьев Лев Степанович,1
Панов Даниэль Максимович,1
Лебедев Константин Маркович,1
Литвинов Александр Никитич,1
Богданов Иван Григорьевич,1
Воробьев Родион Иванович,1
Емельянов Георгий Егорович,1
Хохлов Иван Максимович,1
Суханов Григорий Романович,1
Демин Владимир Демьянович,1
Никитин Адам Даниилович,1
Тимофеев Демид Денисович,1
Матвеев Павел Матвеевич,1
Симонов Иван Тимофеевич,1
Максимов Никита Лукич ,1
Белкин Артур Ильич,1
Кузнецов Фёдор Глебович,1
Павлов Давид Русланович,1
Горбунов Никита Владимирович,1
Максимов Дамир Давидович,1
Свешников Али Александрович,1
Новиков Захар Максимович,1
Петров Николай Михайлович,1
Шаповалов Владимир Адамович,1
Захаров Артём Романович,1
Богданов Максим Евгеньевич,1
Бондарев Александр Тимурович,1
Никонов Руслан Даниэльевич,1
Филатов Алексей Максимович,1
Максимов Кирилл Леонидович,1
Голиков Макар Леонович,1
Соколов Кирилл Михайлович,1
Андреев Максим Кириллович,1
Чернышев Семён Фёдорович,1
Антонов Никита Николаевич,1
Кондратов Савелий Фёдорович,1
Власов Иван Дмитриевич,1
Васильев Александр Александрович,1
Куприянов Иван Александрович,1
Сычев Филипп Георгиевич,1
Михайлов Матвей Егорович,1
Панин Евгений Ярославович,1
Петров Александр Тимурович,1
Михайлов Даниил Михайлович,1
Федоров Макар Даниилович,1
Степанов Александр Львович,1
Щербаков Никита Артёмович,1
Куликов Андрей Сергеевич,1
Петров Максим Ильич,1
Алексеев Мирослав Владимирович,1
Макаров Александр Маркович,1
Русанов Матвей Филиппович,1
Петров Кирилл Андреевич,1
Коршунов Артур Семёнович,1
Егоров Илья Юрьевич,1
Петров Леонид Даниилович,1
Степанов Артём Александрович,1
Никитин Григорий Билалович,1
Сергеев Дмитрий Матвеевич,1
Петров Илья Ильич,1
Туманов Илья Дмитриевич,1
Шапошников Святослав Артёмович,1
Розанов Тимофей Даниилович,1
Власов Гордей Даниилович,1
Киселев Арсений Святославович,1
Морозов Александр Иванович,1
Орлов Георгий Саввич,1
Михайлов Глеб Никитич,1
Булгаков Борис Максимович,1
Антонов Мирон Ильич,1
Чернышев Платон Алексеевич,1
Ерофеев Руслан Георгиевич,1
Нечаев Андрей Давидович,1
Комиссаров Андрей Алексеевич,1
Евсеев Кирилл Александрович,1
Васильев Лев Алексеевич,1
Прокофьев Степан Ильич,1
Демин Лев Григорьевич,1
Агафонов Артём Романович,1
Мухин Константин Гордеевич,1
Давыдов Константин Ильич,1
Субботин Роберт Даниэльевич,1
Горбунов Константин Давидович,1
Бородин Фёдор Артёмович,1
Козлов Михаил Иванович,1
Лебедев Егор Егорович,1
Архипов Сергей Даниилович,1
Добрынин Михаил Даниилович,1
Орлов Алексей Иванович,1
Попов Владислав Львович,1
Крылов Мирон Семёнович,1
Овчинников Мирон Дмитриевич,1
Марков Александр Кириллович,1
Макаров Матвей Миронович,1
Басов Александр Сергеевич,1
Бычков Артём Алексеевич,1
Крючков Ибрагим Платонович,1
Мальцев Михаил Ильич,1
Николаев Дмитрий Никитич,1
Кузнецов Андрей Владиславович,1
Евдокимов Богдан Константинович,1
Кузнецов Александр Артемьевич,1
Кузнецов Ярослав Алексеевич,1
Михайлов Захар Богданович,1
Савельев Александр Тимофеевич,1
Карасев Марк Александрович,1
Степанов Дмитрий Матвеевич,1
Коновалов Тимофей Антонович,1
Булатов Артём Елисеевич,1
Баженов Владимир Артёмович,1
Гаврилов Владислав Александрович,1
Ушаков Максим Александрович,1
Зубов Фёдор Вячеславович,1
Зимин Матвей Петрович,1
Соколов Илья Даниилович,1
Ермаков Ян Ярославович,1
Попов Алексей Сергеевич,1
Савельев Сергей Иванович,1
Федотов Максим Кириллович,1
Смирнов Семён Никитич,1
Карпов Родион Даниилович,1
Авдеев Дмитрий Алексеевич,1
Баранов Давид Михайлович,1
Морозов Мирон Ильич,1
Кожевников Даниил Вадимович,1
Казаков Демьян Вячеславович,1
Овчинников Артём Дмитриевич,1
Дроздов Артемий Арсентьевич,1
Соболев Григорий Михайлович,1
Малахов Михаил Евгеньевич,1
Козлов Степан Мирославович,1
Ларин Ибрагим Викторович,1
Семенов Илья Никитич,1
Худяков Тимофей Фёдорович,1
Дубровин Максим Артёмович,1
Гордеев Тимур Никитич,1
Малышев Тимофей Михайлович,1
Кузьмин Михаил Артёмович,1
Архипов Дмитрий Ярославович,1
Никитин Алексей Тимофеевич,1
Павлов Александр Романович,1
Комаров Максим Максимович,1
Савельев Кирилл Георгиевич,1
Сидоров Александр Артёмович,1
Попов Даниэль Алиевич,1
Волков Глеб Семёнович,1
Ильин Максим Артёмович,1
Антонов Фёдор Михайлович,1
Кузнецов Глеб Степанович,1
Краснов Михаил Платонович,1
Григорьев Константин Артёмович,1
Кузнецов Богдан Степанович,1
Розанов Захар Егорович,1
Симонов Фёдор Даниилович,1
Фролов Игорь Ярославович,1
Николаев Илья Артёмович,1
Котов Александр Михайлович,1
Яковлев Андрей Матвеевич,1
Тимофеев Семён Иванович,1
Давыдов Роман Даниилович,1
Одинцов Максим Кириллович,1
Литвинов Александр Михайлович,1
Смирнов Иван Ярославович,1
Николаев Всеволод Александрович,1
Хромов Андрей Артёмович,1
Васильев Макар Иванович,1
Алексеев Андрей Максимович,1
Кондратов Павел Елисеевич,1
Ильин Максим Георгиевич,1
Калашников Михаил Николаевич,1
Беляев Артём Платонович,1
Малышев Дмитрий Константинович,1
Кузьмин Давид Дмитриевич,1
Карасев Артём Максимович,1
Богданов Тимофей Артемьевич,1
Волков Михаил Матвеевич,1
Воробьев Матвей Владимирович,1
Цветков Александр Вадимович,1
Харитонов Ибрагим Тимурович,1
Ермаков Даниил Ильич,1
Князев Кирилл Александрович,1
Попов Даниил Даниилович,1
Морозов Вадим Демидович,1
Харитонов Максим Ильич,1
Фролов Алексей Ярославович,1
Демьянов Андрей Петрович,1
Алексеев Илья Даниилович,1
Чернышев Даниил Артёмович,1
Гордеев Максим Арсентьевич,1
Свиридов Владимир Игоревич,1
Антонов Артём Михайлович,1
Сидоров Тихон Георгиевич,1
Куликов Серафим Михайлович,1
Елисеев Ярослав Ярославович,1
Фетисов Дмитрий Леонидович,1
Григорьев Ярослав Андреевич,1
Гришин Давид Дмитриевич,1
Никольский Артём Леонидович,1
Алексеев Богдан Максимович,1
Степанов Василий Степанович,1
Соболев Михаил Юрьевич,1
Сазонов Алексей Маркович,1
Анисимов Роман Денисович,1
Козлов Михаил Артёмович,1
Черкасов Михаил Львович,1
Яковлев Дмитрий Денисович,1
Павловский Владислав Максимович,1
Мешков Лев Михайлович,1
Ефимов Юрий Билалович,1
Шевцов Александр Данилович,1
Новиков Даниил Сергеевич,1
Соколов Артём Тимофеевич,1
Попов Владимир Юрьевич,1
Иванов Данила Михайлович,1
Петров Семён Захарович,1
Панков Алексей Маркович,1
Поляков Матвей Александрович,1
Мартынов Лука Кириллович,1
Григорьев Алексей Миронович,1
Соболев Дмитрий Романович,1
Кузнецов Максим Арсентьевич,1
Жданов Илья Максимович,1
Туманов Максим Игоревич,1
Горлов Али Викторович,1
Рыбаков Марк Максимович,1
Романов Александр Глебович,1
Денисов Максим Павлович,1
Егоров Дмитрий Фёдорович,1
Климов Дмитрий Романович,1
Семенов Роман Михайлович,1
Григорьев Александр Львович,1
Денисов Лука Дмитриевич,1
Антонов Кирилл Михайлович,1
Смирнов Фёдор Иванович,1
Родионов Иван Артёмович,1
Васильев Даниил Артёмович,1
Горбунов Михаил Дмитриевич,1
Яковлев Александр Григорьевич,1
Крюков Даниил Юрьевич,1
Зуев Тимофей Иванович,1
Агапов Тимофей Михайлович,1
Гришин Владимир Максимович,1
Белоусов Артемий Германович,1
Покровский Максим Тимофеевич,1
Нестеров Виктор Лукич ,1
Кузнецов Кирилл Максимович,1
Казаков Эмир Александрович,1
Котов Илья Матвеевич,1
Яковлев Матвей Павлович,1
Иванов Матвей Степанович,1
Соловьев Александр Михайлович,1
Федотов Фёдор Ярославович,1
Зайцев Матвей Арсентьевич,1
Александров Денис Ильич,1
Данилов Тимур Александрович,1
Дмитриев Марк Константинович,1
Чернов Максим Иванович,1
Жаров Илья Никитич,1
Устинов Максим Адамович,1
Прохоров Фёдор Владиславович,1
Поляков Даниил Константинович,1
Кольцов Никита Константинович,1
Исаев Максим Николаевич,1
Мельников Александр Арсентьевич,1
Федотов Даниил Львович,1
Некрасов Дмитрий Романович,1
Литвинов Дмитрий Дмитриевич,1
Шувалов Василий Андреевич,1
Федотов Егор Андреевич,1
Кузнецов Глеб Тимурович,1
Степанов Виктор Билалович,1
Круглов Владимир Яковлевич,1
Королев Артём Александрович,1
Антонов Тимофей Ярославович,1
Васильев Демид Михайлович,1
Иванов Денис Иванович,1
Петров Павел Макарович,1
Васильев Лев Платонович,1
Иванов Артём Эрикович,1
Мартынов Евгений Михайлович,1
Зеленин Леонид Александрович,1
Шульгин Александр Давидович,1
Коротков Алексей Николаевич,1
Смирнов Дмитрий Михайлович,1
Александров Михаил Матвеевич,1
Никольский Вячеслав Даниилович,1
Чернов Роман Глебович,1
Киреев Илья Арсентьевич,1
Галкин Матвей Данилович,1
Комаров Марк Арсентьевич,1
Герасимов Максим Павлович,1
Попов Кирилл Иванович,1
Журавлев Кирилл Александрович,1
Петухов Данила Иванович,1
Горбунов Алексей Иванович,1
Шестаков Артём Кириллович,1
Колесников Никита Константинович,1
Иванов Георгий Алексеевич,1
Федоров Николай Александрович,1
Соловьев Михаил Максимович,1
Крылов Дмитрий Андреевич,1
Миронов Артём Демидович,1
Зыков Тимофей Андреевич,1
Зубков Роман Артёмович,1
Петухов Макар Максимович,1
Платонов Иван Максимович,1
Кириллов Иван Даниилович,1
Фирсов Матвей Викторович,1
Гончаров Евгений Богданович,1
Зубов Роман Никитич,1
Воробьев Константин Артёмович,1
Крючков Иван Эмирович,1
Голованов Серафим Олегович,1
Кочетов Роман Вадимович,1
Кузнецов Лев Иванович,1
Никитин Савва Елисеевич,1
Еремин Иван Иванович,1
Власов Евгений Фёдорович,1
Данилов Пётр Никитич,1
Прохоров Леонид Миронович,1
Беликов Никита Леонович,1
Воробьев Марк Романович,1
Федотов Семён Никитич,1
Поляков Дмитрий Олегович,1
Горюнов Артём Демидович,1
Савин Роман Максимович,1
Скворцов Александр Маркович,1
Беляков Дмитрий Максимович,1
Березин Кирилл Маратович,1
Толкачев Артём Фёдорович,1
Алексеев Ярослав Робертович,1
Тимофеев Марк Артёмович,1
Горелов Роман Антонович,1
Демьянов Степан Арсентьевич,1
Кузнецов Даниил Максимович,1
Кузнецов Иван Арсентьевич,1
Белоусов Борис Артёмович,1
Уткин Антон Матвеевич,1
Сомов Иван Филиппович,1
Симонов Тимур Эрикович,1
Кондратьев Руслан Дмитриевич,1
Блинов Андрей Михайлович,1
Селиванов Даниил Михайлович,1
Тарасов Марк Сергеевич,1
Нестеров Егор Егорович,1
Леонов Константин Русланович,1
Калмыков Александр Ильич,1
Павлов Георгий Артемьевич,1
Григорьев Михаил Михайлович,1
Соболев Андрей Петрович,1
Чумаков Лев Ярославович,1
Королев Леонид Ярославович,1
Смирнов Давид Савельевич,1
Носов Матвей Игоревич,1
Лебедев Иван Маркович,1
Кондратьев Станислав Артурович,1
Беляев Тимур Константинович,1
Селиванов Дмитрий Григорьевич,1
Некрасов Фёдор Платонович,1
Дружинин Иван Алексеевич,1
Коршунов Артём Павлович,1
Комаров Тимур Сергеевич,1
Ульянов Роман Никитич,1
Мельников Сергей Лукич ,1
Данилов Максим Георгиевич,1
Волков Даниил Михайлович,1
Киселев Матвей Денисович,1
Егоров Михаил Арсентьевич,1
Морозов Даниил Фёдорович,1
Ширяев Фёдор Глебович,1
Зимин Демид Всеволодович,1
Филиппов Артемий Максимович,1
Гусев Степан Михайлович,1
Климов Николай Фёдорович,1
Богданов Михаил Львович,1
Любимов Илья Тимофеевич,1
Филиппов Дамир Даниилович,1
Куликов Лев Максимович,1
Андреев Никита Иванович,1
Акимов Платон Артёмович,1
Алексеев Владимир Семёнович,1
Калашников Матвей Петрович,1
Некрасов Платон Даниилович,1
Антонов Артём Артурович,1
Фокин Никита Иванович,1
Попов Максим Владиславович,1
Гончаров Тимофей Эмирович,1
Афанасьев Марк Егорович,1
Кондратов Матвей Артёмович,1
Лопатин Константин Андреевич,1
Нестеров Иван Кириллович,1
Филиппов Семён Владимирович,1
Попов Ярослав Алексеевич,1
Тихонов Платон Александрович,1
Иванов Павел Матвеевич,1
Егоров Роман Егорович,1
Филимонов Артём Тимофеевич,1
Суслов Роман Максимович,1
Никитин Иван Михайлович,1
Дмитриев Иван Платонович,1
Ильин Артём Александрович,1
Гуляев Богдан Захарович,1
Васильев Артём Викторович,1
Смирнов Владислав Андреевич,1
Ильин Савва Савельевич,1
Колосов Дмитрий Никитич,1
Ермаков Марк Ильич,1
Суворов Георгий Тигранович,1
Ерофеев Владимир Максимович,1
Чумаков Тимофей Лукич ,1
Кузнецов Борис Богданович,1
Розанов Егор Петрович,1
Иванов Степан Артёмович,1
Карасев Максим Денисович,1
Шапошников Александр Максимович,1
Бородин Степан Матвеевич,1
Михайлов Даниэль Маркович,1
Александров Михаил Михайлович,1
Уткин Ярослав Марсельевич,1
Ильин Михаил Платонович,1
Ермаков Дмитрий Александрович,1
Максимов Савва Савельевич,1
Нефедов Сергей Вадимович,1
Борисов Иван Никитич,1
Сидоров Артём Александрович,1
Агапов Степан Артёмович,1
Суханов Александр Артёмович,1
Горшков Тимур Петрович,1
Москвин Лев Ильич,1
Маслов Даниил Александрович,1
Фролов Матвей Вячеславович,1
Колесников Василий Александрович,1
Семенов Елисей Маркович,1
Чистяков Илья Александрович,1
Анисимов Дамир Даниилович,1
Максимов Роман Маркович,1
Андреев Николай Никитич,1
Моисеев Альберт Артёмович,1
Давыдов Евгений Александрович,1
Андреев Мирослав Дмитриевич,1
Новиков Вячеслав Давидович,1
Петров Сергей Дмитриевич,1
Панов Кирилл Сергеевич,1
Беляев Роберт Алексеевич,1
Копылов Михаил Константинович,1
Лопатин Савелий Ярославович,1
Горохов Иван Фёдорович,1
Иванов Богдан Артёмович,1
Моисеев Демид Никитич,1
Шилов Арсений Дмитриевич,1
Сафонов Егор Михайлович,1
Смирнов Матвей Давидович,1
Латышев Матвей Святославович,1
Скворцов Алексей Константинович,1
Михайлов Даниил Кириллович,1
Козлов Ярослав Даниилович,1
Голубев Савва Иванович,1
Богданов Артемий Арсентьевич,1
Жуков Мирослав Ильич,1
Гусев Руслан Артёмович,1
Григорьев Михаил Тимофеевич,1
Фирсов Леон Артемьевич,1
Егоров Фёдор Никитич,1
Киселев Григорий Романович,1
Чернов Артём Романович,1
Хохлов Максим Дамирович,1
Лебедев Давид Маркович,1
Горячев Арсений Георгиевич,1
Терентьев Артём Львович,1
Скворцов Михаил Владиславович,1
Масленников Николай Денисович,1
Кочергин Матвей Константинович,1
Тарасов Василий Иванович,1
Иванов Владислав Денисович,1
Давыдов Никита Маркович,1
Волков Владислав Иванович,1
Петров Макар Иванович,1
Егоров Степан Кириллович,1
Орлов Михаил Дмитриевич,1
Самсонов Лев Максимович,1
Левин Макар Дмитриевич,1
Фокин Кирилл Мирославович,1
Кузнецов Кирилл Львович,1
Беляков Андрей Константинович,1
Жаров Вячеслав Сергеевич,1
Смирнов Михаил Михайлович,1
Попов Дмитрий Артёмович,1
Сорокин Александр Артёмович,1
Березин Даниэль Артёмович,1
Максимов Тимур Артёмович,1
Иванов Артём Романович,1
Высоцкий Артём Алексеевич,1
Горбунов Дмитрий Маркович,1
Смирнов Тимофей Львович,1
Дубровин Артём Артурович,1
Кулагин Пётр Иванович,1
Кулешов Даниил Львович,1
Богданов Андрей Тимурович,1
Антонов Ярослав Маркович,1
Беляев Иван Артёмович,1
Калинин Дмитрий Максимович,1
Суворов Артём Яковлевич,1
Давыдов Матвей Максимович,1
Галкин Фёдор Миронович,1
Белов Антон Дмитриевич,1
Вавилов Герман Львович,1
Поликарпов Пётр Алексеевич,1
Морозов Денис Савельевич,1
Черных Денис Степанович,1
Алексеев Арсений Евгеньевич,1
Трофимов Никита Русланович,1
Федотов Владимир Даниилович,1
Пименов Тимофей Степанович,1
Журавлев Ярослав Павлович,1
Миронов Артём Павлович,1
Терентьев Пётр Артёмович,1
Минаев Николай Никитич,1
Вавилов Юрий Артёмович,1
Павлов Александр Денисович,1
Иванов Макар Романович,1
Михеев Кирилл Арсентьевич,1
Соловьев Егор Платонович,1
Блинов Артём Ильич,1
Широков Александр Владимирович,1
Степанов Владислав Михайлович,1
Сизов Захар Михайлович,1
Зуев Эмир Львович,1
Дмитриев Клим Львович,1
Смирнов Михаил Иванович,1
Муратов Даниил Дмитриевич,1
Иванов Платон Савельевич,1
Макаров Михаил Александрович,1
Беляев Евгений Денисович,1
Серов Максим Сергеевич,1
Новиков Никита Елисеевич,1
Зайцев Святослав Павлович,1
Львов Тимур Романович,1
Авдеев Фёдор Максимович,1
Шишкин Руслан Ильич,1
Соловьев Мирослав Матвеевич,1
Цветков Матвей Максимович,1
